tweet_time,tweet_id,username,tweet_text,source,favourite,retweet,clean
5/3/2020 5:15,1.25671E+18,PUBCRAWEst,@bi_bukanbabi Melihat kegelisahan para pengguna #tokopedia  ÅEÅEÅEÅEÅEÅEªÅEÅEÅEÅE,Twitter for iPhone,0,0,lihat gelisah para guna
5/3/2020 5:15,1.25671E+18,Fernaldiwots,@sylvanadrian @underthebreach @tokopedia ÅEÅEÅEÅEÅEÅEÅEÅEÅEÅEÅEÅE,Twitter for Android,0,0,
5/3/2020 5:15,1.25671E+18,DeniRahmanDR,"Padahal kalo di pikir2 tokopedia punya bug bounty, kenapa ngga di report bugnya trus dapet bayaran. Atau kena hacknya karena org Tokped sendiri, kena social engineering/malware, akhirnya dapet akses ke internal tokped. Menarik sekali utk di ikuti",Twitter for iPhone,0,0,padahal kalo di pikir2 tokopedia punya bug bounty kenapa ngga di report bugnya trus dapet bayar atau kena hacknya karena org tokped sendiri kena social engineeringmalware akhir dapet akses ke internal tokped tarik sekali utk di ikut
5/3/2020 5:15,1.25671E+18,GilangHamidy,@takisamsam @anggaaawijaya @agussetyar @GreatUeno @llepperr @fadhiil_rachman @underthebreach @tokopedia @haveibeenpwned Haduh itu pak Alfons harus baca lagi soal hash dan enkripsi deh. Dua hal itu adalah berbeda. -_-,Twitter Web App,0,0,haduh itu pak alfons harus baca lagi soal hash dan enkripsi deh dua hal itu adalah beda
5/3/2020 5:15,1.25671E+18,Sungalaxyjim,Tumben ya tokopedia gak ngeretjeh ÅEÅEÅE£ Katanya data di tokped lg jebol ya?,Twitter for Android,0,0,tumben ya tokopedia gak ngeretjeh kata data di tokped lg jebol ya
5/3/2020 5:15,1.25671E+18,Muh4z1r0H,"Ada Kupon THR 1 Juta dari Irma nih buat lengkapi kebutuhan Ramadan dari rumah! Yuk, klik link ini supaya kamu dan dia bisa gunakan kuponnya tanggal 4-5 Mei 2020! https://t.co/H1IuISVP56",Twitter Web App,0,0,ada kupon thr 1 juta dari irma nih buat lengkap butuh ramadan dari rumah yuk klik link ini supaya kamu dan dia bisa guna kupon tanggal 45 mei 2020
5/3/2020 5:14,1.25671E+18,javaboymk04,"@seastarlight_ @amboidaebak @tokopedia tokped kayanya ga bisa hapus akun deh, kecuali akun toko, CMIIW tho",Twitter Web App,0,0,tokped kaya ga bisa hapus akun deh kecuali akun toko cmiiw tho
5/3/2020 5:14,1.25671E+18,riio14_,"Demi keamanan, segera ganti Password akun Tokopedia Anda sekarang juga!",Twitter for Android,0,0,demi aman segera ganti password akun tokopedia anda sekarang juga
5/3/2020 5:14,1.25671E+18,riio14_,"Maret 2020 dan berimbas pada 15.000.000 pengguna, bahkan lebih menurut si peretas. Dari postingan di salah satu forum online, terlihat si peretas mengaku memiliki database Tokopedia periode Maret 2020. Namun, ia tampaknya kesulitan membuka hash yang mengunci data password,",Twitter for Android,0,0,maret 2020 dan imbas pada 15000000 guna bahkan lebih turut si retas dari postingan di salah satu forum online lihat si retas aku milik database tokopedia periode maret 2020 namun ia tampak sulit buka hash yang kunci data password
5/3/2020 5:14,1.25671E+18,riio14_,"Tokopedia   15 Juta Data Pengguna Tokopedia Dilaporkan Bocor Hacker berhasil mengambil data pribadi pengguna Tokopedia yang terdiri dari email, password yang di-hash, no. telpon hingga nama lengkap pemilik akun. Semuanya dikoleksi pada dua bulan yang lalu. Peretasan terjadi pada https://t.co/Ks43iwsLRt",Twitter for Android,29,4,tokopedia 15 juta data guna tokopedia lapor bocor hacker hasil ambil data pribadi guna tokopedia yang diri dari email password yang dihash no telpon hingga nama lengkap milik akun semua koleksi pada dua bulan yang lalu retas jadi pada
5/3/2020 5:14,1.25671E+18,waildflawer,@GilangHamidy @twilightsparkzz @ryopm_ @underthebreach @tokopedia kalo misalnya saya udh uninstall tokped gimana mas? soalnya dl prnah download sama verifik email,Twitter for Android,0,0,kalo misal saya udh uninstall tokped gimana mas soal dl prnah download sama verifik email
5/3/2020 5:14,1.25671E+18,presetsbysintia,"@bi_bukanbabi @hahaydeeeee @arbustam @yunaitji @fikafiika @ezash @tokopedia Aku tadi buka link diatas,trs muncul kek gini berarti udah?? https://t.co/8nCtR7qYpI",Twitter for Android,0,0,aku tadi buka link diatastrs muncul kek gin arti udah
5/3/2020 5:14,1.25671E+18,akbaruul_,"@TokopediaCare @dreamzone86 Sadar diri woe tokopedia,Simpan data dihash tanpa salt? Untuk ukuran Startup sebesar Tokopedia itu sembrono..Skg tau sndiri kan akibatnya,data pengguna lu diapain @TokopediaCare @tokopedia",Twitter for Android,0,0,sadar diri woe tokopediasimpan data dihash tanpa salt untuk ukur startup besar tokopedia itu sembronoskg tau sndiri kan akibatnyadata guna lu diapain
5/3/2020 5:14,1.25671E+18,SeifR89,"ShopBack adalah aplikasi kece yang bakal kasi kamu Cashback setiap belanja online di Tokopedia, Shopee, dan bahkan order Grab! Daftar sekarang lewat link referral aku, dan dapatkan Bonus Cashback Rp 25.000! Selamat Belanja (Sambil Menabung)! :) https://t.co/REJEq8jzZW",Twitter for Android,0,0,shopback adalah aplikasi kece yang bakal kasi kamu cashback tiap belanja online di tokopedia shopee dan bahkan order grab daftar sekarang lewat link referral aku dan dapat bonus cashback rp 25000 selamat belanja sambil tabung
5/3/2020 5:14,1.25671E+18,iqbaliqsebanis,"@na_dirs Permisi, gus. Nderek promosi. Jualan keripik, peyek, kacang mente, kedawung, dll. Bisa jg kunjungi di Tokopedia https://t.co/MFscO9DUnZ | nuwon sanget ÅEÅEÅEÅE https://t.co/iOT8qgZ2mZ",Twitter for iPhone,0,0,permisi gus nderek promosi jual keripik peyek kacang mente kedawung dll bisa jg kunjung di tokopedia nuwon sanget
5/3/2020 5:14,1.25671E+18,yonniewithluv,tokopedia kenapa??,Twitter for Android,0,0,tokopedia kenapa
5/3/2020 5:14,1.25671E+18,grayscaledsboi,"@Z4kjjj @tokopedia they did, but havent clear yet. lol https://t.co/TsDMeEfCOT",Twitter for iPhone,0,0,they did but havent clear yet lol
5/3/2020 5:14,1.25671E+18,sheright_,@CyberSkuad @tokopedia @TokopediaCare,Twitter for Android,0,0,
5/3/2020 5:14,1.25671E+18,duniaparaflel,oi tokopedia jebol,Twitter for Android,0,0,oi tokopedia jebol
5/3/2020 5:14,1.25671E+18,JuangkrikBozz,@erwinpanigoro @TokopediaCare @tokopedia ÅEÅEÅEÅE,Twitter for Android,0,0,
