tweet_time,tweet_id,username,tweet_text,source,favourite,retweet,clean
2020-05-03 05:34:31,1256713708702593024,butuloveher,shopee yg jual pick black ice isi testinya sarawatine semua anjir jskajkajsk,Twitter for Android,0,0,shopee yg jual pick black ice isi testinya sarawatine semua anjir jskajkajsk
2020-05-03 05:34:31,1256713707637231617,NblaAin__,@zzyxwvutsr kena bayo 30 ringgit takmboh aku baik aku beli mende ngarut kat shopee,Twitter for iPhone,0,0,kena bayo 30 ringgit takmboh aku baik aku beli mende ngarut kat shopee
2020-05-03 05:33:56,1256713562115854336,Niesaarashid,Tak boleh stop la scroll shopee and lazada ni. Em,Twitter for iPhone,0,0,tak boleh stop la scroll shopee and lazada ni em
2020-05-03 05:33:54,1256713554477977602,ndmdri,ㅡ GRIPTOK/POPSOCKET ㅡ                    🛒15K  Ukuran diameter : 4cm Bahan : Resin Shopee : STORY.LIME https://t.co/pbgcp7QvGM,Twitter for Android,1,0,griptokpopsocket 15k ukur diameter 4cm bahan resin shopee storylime
2020-05-03 05:33:47,1256713525554065408,hasalikanj,@shopeetanam https://t.co/JfsFJAz6Os,Twitter for Android,0,0,
2020-05-03 05:33:44,1256713511801024513,F_Indah132,@rezzahabibie Masih nunggu goyang shopee nya nih bang😅,Twitter for Android,0,0,masih nunggu goyang shopee nya nih bang
2020-05-03 05:33:34,1256713470273187840,hasalikanj,@shopeetanam https://t.co/JfsFJAz6Os,Twitter for Android,0,0,
2020-05-03 05:33:34,1256713468553474048,rachan_1973,แดนซ์ไปกับน้องโชกี้ แจกฟรีทุกวัน! Shopee coins และโค้ดส่งฟรี https://t.co/aqUio50WnE https://t.co/gcfjvd10SE,Twitter for Android,0,0,shopee coins
2020-05-03 05:33:27,1256713441185640448,haiqalrizaldi,@ArdeaDA manusia masa kini yang gapake shopee itu trnyata cukup dekat dengan anda,Twitter for iPhone,0,0,manusia masa kini yang gapake shopee itu trnyata cukup dekat dengan anda
2020-05-03 05:33:19,1256713407157297153,nauml18,@Asknonym Duitnya aja buat checkout shopee,Twitter for Android,0,0,duit aja buat checkout shopee
2020-05-03 05:33:17,1256713397405544449,RedySap57724350,Saya menjual Kaos Edukasi ... seharga Rp65.000. Dapatkan produk ini hanya di Shopee! https://t.co/hccfZd9TyG #ShopeeID https://t.co/zfCKNw1oeg,Shopee_ID,0,0,saya jual kaos edukasi harga rp65000 dapat produk ini hanya di shopee
2020-05-03 05:33:15,1256713391030235136,Alivia_nbl,@GAMEREFF https://t.co/GYTbyQn1sN,Twitter for Android,0,0,
2020-05-03 05:33:13,1256713383623053313,qkudhey,"Panen lagi lochh, ayo shopee lihat aq @ShopeeID #ShopeeTanam #ShopeeTanamTHR10M #SirBal https://t.co/PjjVDNidSn",Twitter for Android,1,0,panen lagi lochh ayo shopee lihat aq
2020-05-03 05:33:12,1256713376475967488,akmallhakim,@nazihamdfd Usha shopee je wahl tu baru 33,Twitter for iPhone,0,0,usha shopee je wahl tu baru 33
2020-05-03 05:33:11,1256713374605340672,therensoOlrenli,Saya menjual Telur Ayam negeri 1 kg kualitas terbaik seharga Rp29.000. Dapatkan produk ini hanya di Shopee! https://t.co/WFvCPKjV4X #ShopeeID https://t.co/u9hjfvMnLA,Twitter for Android,2,0,saya jual telur ayam negeri 1 kg kualitas baik harga rp29000 dapat produk ini hanya di shopee
2020-05-03 05:33:11,1256713374513201152,tahcsouza,Meu código de rastreio do Shopee até hoje não está funcionando. To ficando preocupada,Twitter for iPhone,1,0,meu c digo de rastreio do shopee at hoje n o est funcionando to ficando preocupada
2020-05-03 05:33:11,1256713371950276609,kghywn,WTS Want to Sale Album IZ*ONE IZONE  Minat? DM  atau  https://t.co/6UztIYCHb2 https://t.co/vilNVP8d7L  https://t.co/O7WWj5Idjl https://t.co/XrL73Ltisx,Twitter for Android,0,0,wts want to sale album izone izone minat dm atau
2020-05-03 05:33:08,1256713362357927937,RaraSavitri,Saya menjual Sambel kacang ... seharga Rp5.000. Dapatkan produk ini hanya di Shopee! https://t.co/kM7XbKrbSu #ShopeeID https://t.co/r9tQsdg8j8,Shopee_ID,0,0,saya jual sambel kacang harga rp5000 dapat produk ini hanya di shopee
2020-05-03 05:33:03,1256713339901603841,masamin_05,Ketik Ramadhan di Shopee untuk 10 Promo Puncak Ramadhan! Share info ini sekarang &amp; dapatkan total 10 Voucher Gratis Ongkir! https://t.co/ZGdaECjBPn https://t.co/aIiAfOv0DB,Twitter for Android,0,0,ketik ramadhan di shopee untuk 10 promo puncak ramadhan share info ini sekarang amp dapat total 10 voucher gratis ongkir
2020-05-03 05:32:57,1256713313242710031,KhoerulRully,Saya menjual Jilbab sabyan... seharga Rp16.000. Dapatkan produk ini hanya di Shopee! https://t.co/i5elid4RBd #ShopeeID https://t.co/JRKgU7Jnor,Shopee_ID,0,0,saya jual jilbab sabyan harga rp16000 dapat produk ini hanya di shopee
2020-05-03 05:32:55,1256713304350720000,ihkamujahat,"@ohmybeautybank Shopee : Meimei8585 Mau review juga, yg besi besinya itu lama lama jadi berkarat pdhl blm ada 6 bln, dan ambil kartu susah banget keset gitu kan https://t.co/SWbTT08ukK",Twitter for Android,0,0,shopee meimei8585 mau review juga yg besi besi itu lama lama jadi karat pdhl blm ada 6 bln dan ambil kartu susah banget keset gitu kan
